ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
47,3,3,3,3,1,1,1,0.41508592649362985,0.19279049802405251,0.513833621538277,0.0,44.532819103214656,2
48,1,2,3,3,3,1,2,0.31641023550446573,0.2996657026889063,0.4496420253265678,0.0,43.29521837755029,2
49,1,3,3,3,3,1,1,0.4144244267266215,0.19396908955083034,0.5092880829133511,0.0,44.28465137432335,2
50,1,3,3,1,3,1,1,0.5289955691953339,0.16178622091511013,0.42052223484594103,1.86564553667618e-05,38.96370001697421,2
51,3,2,3,2,3,1,1,0.40381848057698444,0.1978680912424195,0.45416816959699247,0.0,40.853295028615065,2
52,3,1,3,3,3,1,1,0.4150652207080794,0.15763872391740227,0.5089154027947619,0.0,42.906980080426194,2
53,3,1,3,2,3,1,2,0.3339133488562401,0.2767326388381911,0.4078372629407284,0.027269296093602548,42.42728315912092,2
54,2,2,3,2,3,1,1,0.3451304017046347,0.34214549041483394,0.3542257421071677,0.0,39.283694793562184,2
55,2,2,3,3,3,1,1,0.2777516301089676,0.3474476960913254,0.4892210918749026,0.0,47.07750222196821,2
56,3,1,3,2,3,1,1,0.4368361360426428,0.217687765238069,0.4703440835428418,0.0,43.02024811838824,2
57,3,3,3,1,3,1,1,0.36093668807751855,0.15668788894054878,0.5854051482045615,0.0,46.97532619902465,2
58,2,3,3,3,3,1,1,0.30090880398465303,0.18875087404388982,0.6008207495945657,0.0,48.39081467611439,2
59,3,1,3,3,2,1,1,0.419495113045406,0.23409442608440137,0.49022903489839864,0.0,44.66154457238254,2
60,3,2,3,2,1,1,2,0.3130673031463747,0.4105144045130963,0.3658680403419299,0.05438186214277223,46.93279691743398,2
61,2,3,3,2,1,1,1,0.42854339721318835,0.3603488184451824,0.32982600182620425,0.06393054459352804,45.077920922930666,2
62,1,3,3,3,3,1,2,0.2716090206870065,0.2656294712464318,0.5729305060764098,0.0,49.16437456010439,2
63,2,2,3,2,3,1,1,0.2831708708986098,0.31561831451107497,0.4191962729832139,0.0,41.5750897418488,2
64,3,1,3,1,3,1,1,0.5366178106406739,0.16613018507600563,0.46153434341139704,0.0,41.783501036570954,2
65,2,2,3,2,1,1,1,0.4745968734987701,0.3598698616544878,0.27762714390409843,0.0,36.77927722478407,2
66,2,3,3,3,3,1,1,0.30286987610107435,0.16712899911315798,0.5698927660721654,0.0,45.67150879751719,2
67,3,3,3,1,3,1,1,0.40693893981783547,0.11950802371408029,0.4729360704794638,0.06308216589930968,44.646481558157035,2
68,2,2,3,3,3,1,1,0.2831906677908529,0.3105304257707382,0.4837922315825589,0.0,45.421788787698276,2
69,1,3,3,3,3,1,1,0.41394293968313345,0.1746481447205993,0.4987184364940685,0.0,42.893494453940924,2
70,3,3,3,2,1,1,1,0.4190740243578097,0.21780174492082544,0.41200446740032376,0.04552210500076823,43.13945413909103,2
71,3,2,3,2,3,1,1,0.2914369239904661,0.3018998550937419,0.3712449273443464,0.0811278854284122,45.26570404990386,2
72,2,3,3,2,3,1,1,0.28468275792878994,0.35367762258421326,0.4529499970490529,0.0,45.13082013658368,2
73,3,3,3,1,2,1,1,0.4137237945740785,0.19617104182866663,0.46624372455248014,0.00659508366490438,42.245264105960125,2
74,3,3,3,1,3,1,1,0.41243720851326504,0.14154777079394543,0.5268171202738865,0.0,43.38957652830668,2
75,3,2,3,3,2,1,1,0.2960469674484817,0.3027998690880074,0.47795629465134337,0.0,44.92785059961526,2
76,3,1,3,1,1,1,1,0.6982217915148112,0.2260020329410043,0.2877080260772204,0.0,35.18460025904908,2
77,3,2,3,2,3,1,2,0.16893477871465296,0.37682299925887647,0.49538265635805206,0.0,47.203963228519285,2
78,3,2,3,1,3,1,1,0.39566503516259827,0.20690616930189001,0.48814898774047893,0.0,43.21410602213329,2
79,3,3,3,1,1,1,1,0.5553799987856125,0.15624079059800014,0.4339422342695937,0.0,39.92266927409477,2
80,1,3,3,1,3,1,1,0.5546329904662641,0.13050309005560704,0.41980014889451556,0.0,38.064287563820784,2
81,1,3,3,2,2,1,1,0.42231358661358287,0.38920643442979763,0.3422692142718594,0.0,41.26598701577841,2
82,3,3,3,3,3,1,1,0.2722279353550523,0.1586555543367567,0.5339393257978414,0.053692692224289296,47.421750911556934,2
83,2,2,3,1,3,1,1,0.5107983680228537,0.22232071324294847,0.33779330335482655,0.0,35.834087806572896,2
84,2,3,3,1,3,1,2,0.3127535552671404,0.34157969774536295,0.46778256776945154,0.0,45.95506859188109,2
85,1,3,3,1,3,1,1,0.5548437440834458,0.19014870775271955,0.4015014597787654,0.0,39.159964577942894,2
86,3,3,3,2,1,1,1,0.42403987586573777,0.2809562126328446,0.4525454212016461,0.0,44.120445247156276,2
87,3,2,3,2,1,1,1,0.42368649709420436,0.30560164470157714,0.3777621555655309,0.0017697996333986615,40.52113508075476,2
88,3,3,3,3,3,1,2,0.16371776244555658,0.20675526909709796,0.6092531628132477,0.040774326743411096,51.445870887587084,3
89,2,2,3,3,3,1,1,0.27557096471868325,0.2832074488423841,0.46411205670581646,0.0,43.07191993468647,2
90,1,1,3,3,2,1,1,0.5014247052041987,0.3240218040376446,0.33892955821566456,0.0,39.60172385494319,2
91,1,3,3,3,3,1,1,0.41445595807913305,0.14920252442126172,0.5390985686693541,0.0,44.46945468362111,2
92,2,2,3,2,2,1,1,0.29284993864243253,0.5492362128280285,0.3082613083163836,0.0,43.523313983855445,2
93,2,3,3,1,2,1,1,0.4189075539128233,0.3396466229197731,0.3490383738616827,0.021421285277116623,41.662353611504656,2
94,2,1,3,1,3,1,1,0.5234468398423628,0.22403995365324422,0.3336707157293221,0.0,35.79900349310883,2
95,2,2,3,1,3,1,2,0.31610163851882506,0.402746287647674,0.34517351405076274,0.0,40.627600896445756,2
96,3,3,3,2,3,1,1,0.28121360092820263,0.21936106839306674,0.514250094007787,0.032551131592825834,46.73006496620148,2
97,1,3,3,3,3,1,1,0.4127323924143928,0.12032305452153344,0.524297883858076,0.01449192017942377,43.70793020656674,2
98,2,2,3,1,2,1,1,0.42412179643833686,0.40542484313086335,0.29724606644301144,0.0,39.0828332255748,2
99,3,2,3,3,3,1,1,0.28012379973130347,0.21891258824824297,0.5607160190355346,0.0,46.75552074567132,2
100,2,1,3,3,3,1,2,0.33677265796956485,0.3091790515778057,0.41628151665872043,0.0,41.8214674499573,2
